policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
613106,FL,MARION COUNTY,349650,349650,349650,349650,349650,537041.42,0,17482.5,0,0,29.09182,-82.25719,Residential,Wood,3
392981,FL,MARION COUNTY,425061,425061,425061,425061,425061,662642.47,0,0,0,0,29.0867,-82.25786,Residential,Masonry,1
870779,FL,MARION COUNTY,291324.6,291324.6,291324.6,291324.6,291324.6,410767.69,0,0,0,0,29.087626,-82.25827,Residential,Wood,1
725953,FL,MARION COUNTY,280135.8,280135.8,280135.8,280135.8,280135.8,372899.97,0,0,0,0,29.09051,-82.25698,Residential,Wood,1
132995,FL,MARION COUNTY,224116.2,224116.2,224116.2,224116.2,224116.2,321698.19,0,0,0,0,29.08761,-82.25753,Residential,Wood,1
636802,FL,MARION COUNTY,336155.4,336155.4,336155.4,336155.4,336155.4,366016.76,0,0,0,0,29.08985,-82.2569,Residential,Wood,1
332735,FL,MARION COUNTY,224116.2,224116.2,224116.2,224116.2,224116.2,169667.17,0,0,0,0,29.08701,-82.25812,Residential,Wood,1
622230,FL,MARION COUNTY,448194.6,448194.6,448194.6,448194.6,448194.6,381754.23,0,0,0,0,29.08877,-82.2581,Residential,Masonry,3
714989,FL,MARION COUNTY,280135.8,280135.8,280135.8,280135.8,280135.8,289709.72,0,0,0,0,29.08907,-82.25767,Residential,Wood,1
742345,FL,MARION COUNTY,280135.8,280135.8,280135.8,280135.8,280135.8,287553.8,0,0,0,0,29.09198,-82.26158,Residential,Wood,3
452684,FL,MARION COUNTY,336155.4,336155.4,336155.4,336155.4,336155.4,495711.9,0,0,0,0,29.08846,-82.25852,Residential,Wood,1
259103,FL,MARION COUNTY,224116.2,224116.2,224116.2,224116.2,224116.2,364263.23,0,0,0,0,29.0879,-82.25849,Residential,Wood,1
219054,FL,MARION COUNTY,392175,392175,392175,392175,392175,283081.33,0,0,0,0,29.09133,-82.26016,Residential,Masonry,1
878156,FL,MARION COUNTY,224116.2,224116.2,224116.2,224116.2,224116.2,218836.02,0,0,0,0,29.09133,-82.25888,Residential,Wood,1
174737,FL,MARION COUNTY,336155.4,336155.4,336155.4,336155.4,336155.4,286857.87,0,0,0,0,29.090899,-82.261017,Residential,Wood,1
174644,FL,MARION COUNTY,336155.4,336155.4,336155.4,336155.4,336155.4,448364.07,0,0,0,0,29.090822,-82.259415,Residential,Wood,1
597438,FL,MARION COUNTY,336155.4,336155.4,336155.4,336155.4,336155.4,467005.57,0,0,0,0,29.09001,-82.25895,Residential,Wood,1
896378,FL,MARION COUNTY,336155.4,336155.4,336155.4,336155.4,336155.4,372983.24,0,0,0,0,29.09003,-82.26051,Residential,Wood,1
266051,FL,MARION COUNTY,336155.4,336155.4,336155.4,336155.4,336155.4,453458.84,0,0,0,0,29.08975,-82.26072,Residential,Wood,1
945057,FL,MARION COUNTY,414930.6,414930.6,414930.6,414930.6,414930.6,392756.71,0,0,0,0,29.08867,-82.26201,Residential,Masonry,1
436820,FL,MARION COUNTY,270988.2,270988.2,270988.2,270988.2,270988.2,264994.48,0,0,0,0,29.0898,-82.25898,Residential,Wood,1
709867,FL,MARION COUNTY,245775.6,245775.6,245775.6,245775.6,245775.6,389428.49,0,0,0,0,29.08874,-82.25901,Residential,Wood,1
526978,FL,MARION COUNTY,421470,421470,421470,421470,421470,529126.08,0,21073.5,0,0,29.08916,-82.25975,Residential,Masonry,1
923485,FL,MARION COUNTY,269060.4,269060.4,269060.4,269060.4,269060.4,239006.35,0,0,0,0,29.088213,-82.262314,Residential,Wood,3
970646,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,167590.02,0,0,0,0,29.088,-82.26057,Residential,Wood,1
287134,FL,MARION COUNTY,346815,346815,346815,346815,346815,494142.01,0,0,0,0,29.08838,-82.26129,Residential,Wood,3
970867,FL,MARION COUNTY,320959.8,320959.8,320959.8,320959.8,320959.8,522164.68,0,0,0,0,29.08799,-82.25989,Residential,Wood,1
312935,FL,MARION COUNTY,448194.6,448194.6,448194.6,448194.6,448194.6,517368.95,0,0,0,0,29.087545,-82.262505,Residential,Masonry,1
932080,FL,MARION COUNTY,247552.2,247552.2,247552.2,247552.2,247552.2,237166.89,0,0,0,0,29.0873,-82.26163,Residential,Wood,1
340770,FL,MARION COUNTY,193573.8,193573.8,193573.8,193573.8,193573.8,179252.44,0,0,0,0,29.09168,-82.26448,Residential,Wood,3
313038,FL,MARION COUNTY,244490.4,244490.4,244490.4,244490.4,244490.4,384428.88,0,0,0,0,29.091761,-82.262466,Residential,Wood,1
694641,FL,MARION COUNTY,122245.2,122245.2,122245.2,122245.2,122245.2,159927.53,0,0,0,0,29.08972,-82.26743,Residential,Wood,1
298350,FL,MARION COUNTY,126327.6,126327.6,126327.6,126327.6,126327.6,124938,0,0,0,0,29.091885,-82.264366,Residential,Wood,3
255279,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,223718.5,0,0,0,0,29.09021,-82.26741,Residential,Wood,1
966251,FL,MARION COUNTY,122245.2,122245.2,122245.2,122245.2,122245.2,117967.11,0,0,0,0,29.09121,-82.26585,Residential,Wood,1
381884,FL,MARION COUNTY,203742,203742,203742,203742,203742,308545.66,0,10187.1,0,0,29.091232,-82.263931,Residential,Wood,1
216345,FL,MARION COUNTY,302324.4,302324.4,302324.4,302324.4,302324.4,519204.06,0,0,0,0,29.09081,-82.26633,Residential,Wood,1
748763,FL,MARION COUNTY,260555.4,260555.4,260555.4,260555.4,260555.4,203319.2,0,0,0,0,29.09141,-82.26448,Residential,Wood,1
191492,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,132220.41,0,0,0,0,29.09084,-82.26506,Residential,Wood,1
623278,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,252162.51,0,0,0,0,29.09098,-82.26443,Residential,Wood,1
232617,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,217686.43,0,0,0,0,29.09103,-82.26326,Residential,Wood,1
694565,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,166204.57,0,0,0,0,29.09052,-82.26511,Residential,Wood,1
249969,FL,MARION COUNTY,203742,203742,203742,203742,203742,271402.48,0,10187.1,0,0,29.089703,-82.262794,Residential,Wood,1
639580,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,229195.08,0,0,0,0,29.09001,-82.26358,Residential,Wood,1
197157,FL,MARION COUNTY,337176,337176,337176,337176,337176,319924.73,0,16858.8,0,0,29.089659,-82.264854,Residential,Wood,1
718493,FL,MARION COUNTY,81496.8,81496.8,81496.8,81496.8,81496.8,75861.46,0,0,0,0,29.08962,-82.26438,Residential,Wood,1
131012,FL,MARION COUNTY,256246.2,256246.2,256246.2,256246.2,256246.2,369578.77,0,0,0,0,29.089056,-82.265015,Residential,Wood,1
585345,FL,MARION COUNTY,247665.6,247665.6,247665.6,247665.6,247665.6,393193.91,0,0,0,0,29.0888,-82.26537,Residential,Wood,1
446551,FL,MARION COUNTY,494121.6,494121.6,494121.6,494121.6,494121.6,734504.35,0,0,0,0,29.089096,-82.263954,Residential,Masonry,1
479203,FL,MARION COUNTY,306142.2,306142.2,306142.2,306142.2,306142.2,272189.81,0,0,0,0,29.0888,-82.26311,Residential,Wood,1
862848,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,154781.98,0,0,0,0,29.0884,-82.26786,Residential,Wood,3
535428,FL,MARION COUNTY,250954.2,250954.2,250954.2,250954.2,250954.2,291568.63,0,0,0,0,29.08856,-82.26645,Residential,Wood,3
291925,FL,MARION COUNTY,387412.2,387412.2,387412.2,387412.2,387412.2,453090.97,0,0,0,0,29.08852,-82.26503,Residential,Masonry,3
791061,FL,MARION COUNTY,319069.8,319069.8,319069.8,319069.8,319069.8,261650,0,0,0,0,29.08856,-82.2633,Residential,Wood,3
193174,FL,MARION COUNTY,122245.2,122245.2,122245.2,122245.2,122245.2,146864.41,0,0,0,0,29.08675,-82.26819,Residential,Wood,1
166909,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,179618.95,0,0,0,0,29.08726,-82.26822,Residential,Wood,1
536738,FL,MARION COUNTY,122245.2,122245.2,122245.2,122245.2,122245.2,200971.11,0,0,0,0,29.08723,-82.26794,Residential,Wood,1
118732,FL,MARION COUNTY,203742,203742,203742,203742,203742,208170.13,0,10187.1,0,0,29.08602,-82.25748,Residential,Wood,3
293994,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,275189.27,0,0,0,0,29.08597,-82.25709,Residential,Wood,1
313264,FL,MARION COUNTY,339292.8,339292.8,339292.8,339292.8,339292.8,488353.63,0,0,0,0,29.08581,-82.25613,Residential,Wood,1
521061,FL,MARION COUNTY,203742,203742,203742,203742,203742,159321.35,0,10187.1,0,0,29.08572,-82.25673,Residential,Wood,1
631617,FL,MARION COUNTY,203742,203742,203742,203742,203742,167858.55,0,10187.1,0,0,29.08323,-82.25813,Residential,Wood,1
565082,FL,MARION COUNTY,244490.4,244490.4,244490.4,244490.4,244490.4,349621.27,0,0,0,0,29.08295,-82.25899,Residential,Wood,1
998774,FL,MARION COUNTY,326781,326781,326781,326781,326781,419649.55,0,0,0,0,29.08448,-82.25843,Residential,Wood,1
791509,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,127575.74,0,0,0,0,29.08419,-82.25806,Residential,Wood,1
354893,FL,MARION COUNTY,306066.6,306066.6,306066.6,306066.6,306066.6,259238.41,0,0,0,0,29.083641,-82.25914,Residential,Wood,1
404470,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,195441.06,0,0,0,0,29.08364,-82.25862,Residential,Wood,1
764238,FL,MARION COUNTY,203742,203742,203742,203742,203742,326525.08,0,10187.1,0,0,29.08307,-82.25918,Residential,Wood,1
293494,FL,MARION COUNTY,203742,203742,203742,203742,203742,224711.13,0,10187.1,0,0,29.0846,-82.2586,Residential,Wood,3
825448,FL,MARION COUNTY,203742,203742,203742,203742,203742,158103.79,0,10187.1,0,0,29.084164,-82.259209,Residential,Wood,3
271086,FL,MARION COUNTY,203742,203742,203742,203742,203742,284525.7,0,10187.1,0,0,29.08207,-82.25929,Residential,Wood,1
207090,FL,MARION COUNTY,203742,203742,203742,203742,203742,217714.63,0,10187.1,0,0,29.081631,-82.259872,Residential,Wood,1
262966,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,175399.37,0,0,0,0,29.082993,-82.259407,Residential,Wood,1
236829,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,184954.54,0,0,0,0,29.0923,-82.25645,Residential,Wood,3
444050,FL,MARION COUNTY,203742,203742,203742,203742,203742,224033.07,0,10187.1,0,0,29.09245,-82.25864,Residential,Wood,3
131221,FL,MARION COUNTY,203742,203742,203742,203742,203742,262781.95,0,10187.1,0,0,29.09254,-82.26019,Residential,Wood,3
866132,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,219454.58,0,0,0,0,29.09249,-82.26157,Residential,Wood,3
366107,FL,MARION COUNTY,122245.2,122245.2,122245.2,122245.2,122245.2,159653.21,0,0,0,0,29.09214,-82.26421,Residential,Wood,3
933086,FL,MARION COUNTY,162993.6,162993.6,162993.6,162993.6,162993.6,153673.63,0,0,0,0,29.08,-82.2657,Residential,Wood,1
717634,FL,MARION COUNTY,203742,203742,203742,203742,203742,186435.54,0,10187.1,0,0,29.08,-82.2657,Residential,Wood,1
112430,FL,MARION COUNTY,418483.8,418483.8,418483.8,418483.8,418483.8,528871.46,0,0,0,0,29.07973,-82.26716,Residential,Masonry,1
871993,FL,MARION COUNTY,159175.8,159175.8,159175.8,159175.8,159175.8,153782.92,0,0,0,0,29.0786,-82.26822,Residential,Wood,1
714435,FL,MARION COUNTY,203742,203742,203742,203742,203742,157936.72,0,10187.1,0,0,29.07988,-82.26823,Residential,Wood,1
184009,FL,MARION COUNTY,198979.2,198979.2,198979.2,198979.2,198979.2,261299.49,0,0,0,0,29.07859,-82.26863,Residential,Wood,1
343193,FL,MARION COUNTY,203742,203742,203742,203742,203742,176196.08,0,10187.1,0,0,29.07988,-82.26863,Residential,Wood,1
404547,FL,MARION COUNTY,119372.4,119372.4,119372.4,119372.4,119372.4,123427.96,0,0,0,0,29.080517,-82.268059,Residential,Wood,1
632829,FL,MARION COUNTY,50765.4,50765.4,50765.4,50765.4,50765.4,72919.42,0,0,0,0,29.0875,-82.2738,Residential,Wood,1
600442,FL,MARION COUNTY,50765.4,50765.4,50765.4,50765.4,50765.4,88654.66,0,0,0,0,29.08738,-82.27351,Residential,Wood,1
694342,FL,MARION COUNTY,46758.6,46758.6,46758.6,46758.6,46758.6,82630.3,0,0,0,0,29.08744,-82.27365,Residential,Wood,1
278167,FL,MARION COUNTY,159175.8,159175.8,159175.8,159175.8,159175.8,178951.8,0,0,0,0,29.07817,-82.26862,Residential,Wood,1
434531,FL,MARION COUNTY,159175.8,159175.8,159175.8,159175.8,159175.8,263305.42,0,0,0,0,29.079399,-82.266861,Residential,Wood,1
780037,FL,MARION COUNTY,238744.8,238744.8,238744.8,238744.8,238744.8,250751.51,0,0,0,0,29.078297,-82.26622,Residential,Wood,3
949114,FL,MARION COUNTY,211906.8,211906.8,211906.8,211906.8,211906.8,322151.74,0,0,0,0,29.080713,-82.273232,Residential,Wood,1
442062,FL,MARION COUNTY,131317.2,131317.2,131317.2,131317.2,131317.2,197736.13,0,0,0,0,29.080416,-82.274734,Residential,Wood,1
222682,FL,MARION COUNTY,130334.4,130334.4,130334.4,130334.4,130334.4,154411.07,0,0,0,0,29.08066,-82.27383,Residential,Wood,1
846519,FL,MARION COUNTY,193989.6,193989.6,193989.6,193989.6,193989.6,333041.35,0,0,0,0,29.08133,-82.27466,Residential,Wood,3
643417,FL,MARION COUNTY,185031,185031,185031,185031,185031,212446.67,0,0,0,0,29.081755,-82.27404,Residential,Wood,1
428570,FL,MARION COUNTY,189037.8,189037.8,189037.8,189037.8,189037.8,271068.11,0,0,0,0,29.081684,-82.275208,Residential,Wood,1
554211,FL,MARION COUNTY,180079.2,180079.2,180079.2,180079.2,180079.2,250912.27,0,0,0,0,29.08013,-82.27752,Residential,Wood,1
769024,FL,MARION COUNTY,134303.4,134303.4,134303.4,134303.4,134303.4,218539.3,0,0,0,0,29.08021,-82.27816,Residential,Wood,1
996398,FL,MARION COUNTY,55717.2,55717.2,55717.2,55717.2,55717.2,98461.65,0,0,0,0,29.08731,-82.27335,Residential,Wood,1
768812,FL,MARION COUNTY,50765.4,50765.4,50765.4,50765.4,50765.4,47326.35,0,0,0,0,29.08708,-82.27311,Residential,Wood,1
207309,FL,MARION COUNTY,55717.2,55717.2,55717.2,55717.2,55717.2,37976.84,0,0,0,0,29.08764,-82.2728,Residential,Wood,1
486382,FL,MARION COUNTY,50765.4,50765.4,50765.4,50765.4,50765.4,58761.97,0,0,0,0,29.08832,-82.27234,Residential,Wood,3
990272,FL,MARION COUNTY,70459.2,70459.2,70459.2,70459.2,70459.2,107826.67,0,0,0,0,29.08884,-82.27348,Residential,Wood,3
538257,FL,MARION COUNTY,94651.2,94651.2,94651.2,94651.2,94651.2,85458.68,0,0,0,0,29.08861,-82.27365,Residential,Wood,3
576878,FL,MARION COUNTY,50765.4,50765.4,50765.4,50765.4,50765.4,72037.32,0,0,0,0,29.08839,-82.27343,Residential,Wood,1
272715,FL,MARION COUNTY,50765.4,50765.4,50765.4,50765.4,50765.4,58600.53,0,0,0,0,29.08816,-82.27299,Residential,Wood,1
342337,FL,MARION COUNTY,119372.4,119372.4,119372.4,119372.4,119372.4,124624.79,0,0,0,0,29.08016,-82.27603,Residential,Wood,1
704753,FL,MARION COUNTY,119372.4,119372.4,119372.4,119372.4,119372.4,156802.33,0,0,0,0,29.08191,-82.27616,Residential,Wood,1
153532,FL,MARION COUNTY,144244.8,144244.8,144244.8,144244.8,144244.8,156118.46,0,0,0,0,29.07988,-82.27644,Residential,Wood,1
706018,FL,MARION COUNTY,182044.8,182044.8,182044.8,182044.8,182044.8,230287.4,0,0,0,0,29.08,-82.2769,Residential,Wood,1
307058,FL,MARION COUNTY,119372.4,119372.4,119372.4,119372.4,119372.4,124195.04,0,0,0,0,29.08032,-82.27677,Residential,Wood,1
750651,FL,MARION COUNTY,40786.2,40786.2,40786.2,40786.2,40786.2,40877.56,0,0,0,0,29.08749,-82.27287,Residential,Wood,1
393610,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,67417.67,0,0,0,0,29.0886,-82.27287,Residential,Wood,3
943675,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,127044.86,0,0,0,0,29.09052,-82.27113,Residential,Wood,3
893588,FL,MARION COUNTY,49744.8,49744.8,49744.8,49744.8,49744.8,49966.46,0,0,0,0,29.08982,-82.27143,Residential,Wood,3
401455,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,77831.49,0,0,0,0,29.08941,-82.27166,Residential,Wood,3
378501,FL,MARION COUNTY,119372.4,119372.4,119372.4,119372.4,119372.4,144224.54,0,0,0,0,29.08894,-82.27224,Residential,Wood,3
431291,FL,MARION COUNTY,81307.8,81307.8,81307.8,81307.8,81307.8,65949.89,0,0,0,0,29.08863,-82.27198,Residential,Wood,3
303976,FL,MARION COUNTY,84974.4,84974.4,84974.4,84974.4,84974.4,93934.1,0,0,0,0,29.09045,-82.27035,Residential,Wood,3
456316,FL,MARION COUNTY,87658.2,87658.2,87658.2,87658.2,87658.2,84870.67,0,0,0,0,29.0896,-82.27041,Residential,Wood,3
871767,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,77726.12,0,0,0,0,29.08946,-82.27045,Residential,Wood,3
725858,FL,MARION COUNTY,55717.2,55717.2,55717.2,55717.2,55717.2,73852.59,0,0,0,0,29.08896,-82.27074,Residential,Wood,3
298913,FL,MARION COUNTY,84974.4,84974.4,84974.4,84974.4,84974.4,69339.11,0,0,0,0,29.08827,-82.27155,Residential,Wood,3
839726,FL,MARION COUNTY,45775.8,45775.8,45775.8,45775.8,45775.8,48799.02,0,0,0,0,29.08722,-82.2724,Residential,Wood,1
743360,FL,MARION COUNTY,219807,219807,219807,219807,219807,270257.1,0,0,0,0,29.08199,-82.27693,Residential,Wood,1
616883,FL,MARION COUNTY,209449.8,209449.8,209449.8,209449.8,209449.8,295324.22,0,0,0,0,29.0816,-82.27698,Residential,Wood,1
591920,FL,MARION COUNTY,298431,298431,298431,298431,298431,358346.39,0,0,0,0,29.08043,-82.27717,Residential,Wood,1
943342,FL,MARION COUNTY,156189.6,156189.6,156189.6,156189.6,156189.6,175088.54,0,0,0,0,29.08052,-82.27753,Residential,Wood,1
226621,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,146935.95,0,0,0,0,29.09072,-82.27237,Residential,Wood,3
644957,FL,MARION COUNTY,84974.4,84974.4,84974.4,84974.4,84974.4,133163.72,0,0,0,0,29.08938,-82.27252,Residential,Wood,3
714186,FL,MARION COUNTY,84974.4,84974.4,84974.4,84974.4,84974.4,153954.49,0,0,0,0,29.09043,-82.27193,Residential,Wood,3
371737,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,88896.7,0,0,0,0,29.08883,-82.2717,Residential,Wood,3
429372,FL,MARION COUNTY,94651.2,94651.2,94651.2,94651.2,94651.2,127679.74,0,0,0,0,29.08893,-82.27159,Residential,Wood,3
738326,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,114464.22,0,0,0,0,29.0899,-82.27095,Residential,Wood,3
491669,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,114519.49,0,0,0,0,29.09005,-82.27094,Residential,Wood,3
424416,FL,MARION COUNTY,50765.4,50765.4,50765.4,50765.4,50765.4,81501.87,0,0,0,0,29.0914,-82.27258,Residential,Wood,3
708208,FL,MARION COUNTY,84974.4,84974.4,84974.4,84974.4,84974.4,127297.43,0,0,0,0,29.09118,-82.27195,Residential,Wood,3
618558,FL,MARION COUNTY,84974.4,84974.4,84974.4,84974.4,84974.4,74278.25,0,0,0,0,29.08747,-82.27225,Residential,Wood,1
636102,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,113640.82,0,0,0,0,29.08735,-82.27233,Residential,Wood,1
841326,FL,MARION COUNTY,94651.2,94651.2,94651.2,94651.2,94651.2,108697.44,0,0,0,0,29.09167,-82.27589,Residential,Wood,3
339971,FL,MARION COUNTY,96390,96390,96390,96390,96390,145674.21,0,4819.5,0,0,29.09025,-82.27558,Residential,Wood,1
121153,FL,MARION COUNTY,94651.2,94651.2,94651.2,94651.2,94651.2,170732.02,0,0,0,0,29.09093,-82.27574,Residential,Wood,1
247921,FL,MARION COUNTY,85768.2,85768.2,85768.2,85768.2,85768.2,130422.56,0,0,0,0,29.09041,-82.27663,Residential,Wood,1
781799,FL,MARION COUNTY,280135.8,280135.8,280135.8,280135.8,280135.8,328835.73,0,0,0,0,29.08103,-82.27793,Residential,Wood,1
913719,FL,MARION COUNTY,290266.2,290266.2,290266.2,290266.2,290266.2,315783.79,0,0,0,0,29.08209,-82.27852,Residential,Wood,1
274110,FL,MARION COUNTY,108561.6,108561.6,108561.6,108561.6,108561.6,173645.91,0,0,0,0,29.08964,-82.27649,Residential,Wood,1
854771,FL,MARION COUNTY,101719.8,101719.8,101719.8,101719.8,101719.8,106805.38,0,0,0,0,29.08947,-82.27576,Residential,Wood,1
290710,FL,MARION COUNTY,84974.4,84974.4,84974.4,84974.4,84974.4,61504.47,0,0,0,0,29.08951,-82.27538,Residential,Wood,1
292758,FL,MARION COUNTY,94651.2,94651.2,94651.2,94651.2,94651.2,162194.3,0,0,0,0,29.09007,-82.27316,Residential,Wood,3
694287,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,78613.58,0,0,0,0,29.09059,-82.27238,Residential,Wood,3
272631,FL,MARION COUNTY,84974.4,84974.4,84974.4,84974.4,84974.4,107903.89,0,0,0,0,29.089075,-82.272827,Residential,Wood,3
421019,FL,MARION COUNTY,78397.2,78397.2,78397.2,78397.2,78397.2,79087.1,0,0,0,0,29.09057,-82.27192,Residential,Wood,3
773083,FL,MARION COUNTY,94651.2,94651.2,94651.2,94651.2,94651.2,126427.97,0,0,0,0,29.08962,-82.27099,Residential,Wood,3
459760,FL,MARION COUNTY,63693,63693,63693,63693,63693,62565.63,0,0,0,0,29.08782,-82.27198,Residential,Wood,3
122908,FL,MARION COUNTY,72084.6,72084.6,72084.6,72084.6,72084.6,78848.3,0,0,0,0,29.08048,-82.28439,Residential,Wood,1
136224,FL,MARION COUNTY,58438.8,58438.8,58438.8,58438.8,58438.8,73740.88,0,0,0,0,29.08066,-82.28436,Residential,Wood,1
976834,FL,MARION COUNTY,58438.8,58438.8,58438.8,58438.8,58438.8,79597.97,0,0,0,0,29.08158,-82.28419,Residential,Wood,1
270760,FL,MARION COUNTY,58438.8,58438.8,58438.8,58438.8,58438.8,91926.57,0,0,0,0,29.08176,-82.28416,Residential,Wood,3
749836,FL,MARION COUNTY,58438.8,58438.8,58438.8,58438.8,58438.8,51586.27,0,0,0,0,29.08072,-82.28037,Residential,Wood,1
101081,FL,MARION COUNTY,58438.8,58438.8,58438.8,58438.8,58438.8,48192.43,0,0,0,0,29.07991,-82.28337,Residential,Wood,1
861642,FL,MARION COUNTY,69211.8,69211.8,69211.8,69211.8,69211.8,49300.95,0,0,0,0,29.0823,-82.28349,Residential,Wood,1
330009,FL,MARION COUNTY,64751.4,64751.4,64751.4,64751.4,64751.4,86329.67,0,0,0,0,29.08122,-82.28259,Residential,Wood,3
593715,FL,MARION COUNTY,95634,95634,95634,95634,95634,101559.1,0,4781.7,0,0,29.08103,-82.28071,Residential,Wood,1
506088,FL,MARION COUNTY,95634,95634,95634,95634,95634,142671.77,0,4781.7,0,0,29.0809,-82.28141,Residential,Wood,1
984407,FL,MARION COUNTY,64751.4,64751.4,64751.4,64751.4,64751.4,58535.27,0,0,0,0,29.08182,-82.28033,Residential,Wood,1
171381,FL,MARION COUNTY,58438.8,58438.8,58438.8,58438.8,58438.8,83435.18,0,0,0,0,29.08178,-82.28055,Residential,Wood,3
999908,FL,MARION COUNTY,72084.6,72084.6,72084.6,72084.6,72084.6,73563.06,0,0,0,0,29.0816,-82.28165,Residential,Wood,3
988614,FL,MARION COUNTY,101719.8,101719.8,101719.8,101719.8,101719.8,72710.94,0,0,0,0,29.09144,-82.27566,Residential,Wood,3
634562,FL,MARION COUNTY,96390,96390,96390,96390,96390,92467.89,0,4819.5,0,0,29.09122,-82.27541,Residential,Wood,3
651000,FL,MARION COUNTY,108561.6,108561.6,108561.6,108561.6,108561.6,126452.55,0,0,0,0,29.09111,-82.27528,Residential,Wood,3
505613,FL,MARION COUNTY,85768.2,85768.2,85768.2,85768.2,85768.2,96660.76,0,0,0,0,29.09081,-82.27489,Residential,Wood,3
983555,FL,MARION COUNTY,108561.6,108561.6,108561.6,108561.6,108561.6,142914.18,0,0,0,0,29.09071,-82.27475,Residential,Wood,3
317909,FL,MARION COUNTY,108561.6,108561.6,108561.6,108561.6,108561.6,119668.97,0,0,0,0,29.09061,-82.27461,Residential,Wood,3
934572,FL,MARION COUNTY,85768.2,85768.2,85768.2,85768.2,85768.2,71139.58,0,0,0,0,29.08987,-82.27591,Residential,Wood,1
931532,FL,MARION COUNTY,96390,96390,96390,96390,96390,102742.1,0,4819.5,0,0,29.09054,-82.27654,Residential,Wood,1
790453,FL,MARION COUNTY,96390,96390,96390,96390,96390,163944.93,0,4819.5,0,0,29.09168,-82.27661,Residential,Wood,3
334704,FL,MARION COUNTY,96390,96390,96390,96390,96390,86070.87,0,4819.5,0,0,29.09143,-82.27639,Residential,Wood,3
705384,FL,MARION COUNTY,99754.2,99754.2,99754.2,99754.2,99754.2,104328.43,0,0,0,0,29.09111,-82.27734,Residential,Wood,1
963438,FL,MARION COUNTY,85768.2,85768.2,85768.2,85768.2,85768.2,140039.4,0,0,0,0,29.09136,-82.27715,Residential,Wood,1
802572,FL,MARION COUNTY,290266.2,290266.2,290266.2,290266.2,290266.2,252154.25,0,0,0,0,29.0811,-82.27877,Residential,Wood,1
213229,FL,MARION COUNTY,85768.2,85768.2,85768.2,85768.2,85768.2,77328.61,0,0,0,0,29.0904,-82.27739,Residential,Wood,1
836808,FL,MARION COUNTY,108561.6,108561.6,108561.6,108561.6,108561.6,107241.49,0,0,0,0,29.09028,-82.27728,Residential,Wood,1
123416,FL,MARION COUNTY,96390,96390,96390,96390,96390,150664.9,0,4819.5,0,0,29.0897,-82.27487,Residential,Wood,1
411016,FL,MARION COUNTY,55717.2,55717.2,55717.2,55717.2,55717.2,80472.35,0,0,0,0,29.09019,-82.27304,Residential,Wood,3
861726,FL,MARION COUNTY,95256,95256,95256,95256,95256,106060.89,0,4762.8,0,0,29.08009,-82.27991,Residential,Wood,1
118895,FL,MARION COUNTY,66565.8,66565.8,66565.8,66565.8,66565.8,89697.42,0,0,0,0,29.08195,-82.28413,Residential,Wood,1
559943,FL,MARION COUNTY,58438.8,58438.8,58438.8,58438.8,58438.8,85484.28,0,0,0,0,29.08255,-82.28396,Residential,Wood,1
218495,FL,MARION COUNTY,73596.6,73596.6,73596.6,73596.6,73596.6,93055.54,0,0,0,0,29.09389,-82.27601,Residential,Wood,3
748737,FL,MARION COUNTY,88225.2,88225.2,88225.2,88225.2,88225.2,77522.42,0,0,0,0,29.08022,-82.28335,Residential,Wood,1
